row_num,designation,common_name,z,instrument,adopted,sdss_flag,sul_flag,cat_flags,CIV_blue,CIV_EW,CIVgood_manmask
1,J000543.05-500654.5,RXS-J00057-5007,0.0333,COS,COS,,,,-286.1411570333448,66.50684415275748,3
2,J000547.55+020302.1,LBQS0003+0146,0.233371515304252,FOS,,1,1,256,,,2
3,J000559.22+160949.0,ICRF J000559.2+160949,0.4504,COS/FOS,,,1,,,,2
4,J000619.50+201210.1,Mrk 335,0.025418,COS/FOS/STIS,FOS,,1,12,-78.78126855460229,80.70497435749922,3
5,J001031.01+105829.5,Mrk 1501,0.08934,COS/FOS,,,,8,,,0
6,J001224.01-102226.3,2MASX J00122399-1022269,0.2287656532346176,COS/STIS,,1,,256,,,1
7,J002019.22-110609.2,PB 8142,0.4924766666950629,STIS,,2,,256,,,2
8,J002025.06+022625.2,LBQS0017+0209,0.4021788710946813,FOS,,2,1,256,,,2
9,J002038.01+284230.8,QSO0020+287,0.5144468180121746,FOS,,2,,,,,1
10,J002204.89-012847.9,LBQS 0019-0145B,1.042726968772407,STIS,,2,,,,,
11,J002913.71+131603.8,LEDA 1790,0.1451,COS/FOS/STIS,,,1,9,,,1
12,J003620.92+453953.2,Z 535-12,0.047643,COS,,,,,-286.1,202.58,3
13,J003623.00+431640.1,LEDA 3095439,0.12,COS,,,,,-493.6,117.99,3
14,J003915.81-511702.1,2MASX-J00391586-5117013,0.029,COS/FOS,COS,,1,,404.4969925394556,22.670942111031714,2
15,J004342.46+372519.1,LEDA 2100384,0.08,COS,,,,,,,
16,J004354.98+423430.2,2MASS J00435499+4234302,0.191,COS,,,,,266.5,208.99,3
17,J004458.78+102652.8,MC0042+101,0.5857,FOS,,,1,,-217,359.2,3
18,J004705.90+031954.9,87GB 004432.0+030343,0.6231,COS/FOS,,,1,,,,2
19,J004818.98+394111.6,ZTF J004818.97+394111.8,0.135,COS,,,,,197.5,25.73,3
20,J005050.74+353643.0,2MASS J00505073+3536429,0.058,COS,,,,,,,1
21,J005154.75+172558.4,Mrk 1148,0.064,COS,,,,,266.5,1022.68,3
22,J005334.97+124136.2,Mrk 1502,0.0605,COS/FOS/STIS,,,1,,,,
23,J005346.14+223222.2,2MASS J00534614+2232224,0.1477439224844126,COS,,1,,256,,,0
24,J005452.13+252539.0,LEDA 3237,0.1543,COS/FOS/STIS,,,1,9,,,2
25,J005709.94+144610.1,[OKM2018] SWIFT J0056.9+1472,0.1718091498586923,COS/FOS,,1,,256,,,
26,J005720.03-222256.2,TON-S180,0.062,STIS,,,1,,611.4,18.13,3
27,J005953.30+314937.1,Mrk 352,0.01486,COS,,,,,,,0
28,J010027.10-511354.1,LEDA 3095485,0.062817,COS/STIS,,,,,,,3
29,J010312.96+022110.3,LBQS 0100+0205,0.3938332691580054,COS/FOS,,2,1,256,,,
30,J010737.04-001911.8,0107-0019,0.7379901791928926,STIS,,2,,384,,,2
31,J011056.92+001911.5,QSO J0110+0019,0.8062830165193169,STIS,,2,,,,,1
