index,common_name,name_pub,manmask_now,manmask_expected,status,civ_px,n_spectra,ica_px,basis,reason_now
1,NGC4395,NGC 4395,3.0,,measured,140,3,3767,fittable: 140 px at C IV across 3 spectra,
2,NGC-4051,NGC  4051,0.0,,confirmed,140,2,1532,fittable: 140 px at C IV across 2 spectra,insufficient_coverage;civ_unphysical;fit_unstable
3,NGC4151,NGC4151,3.0,,measured,140,2,3734,fittable: 140 px at C IV across 2 spectra,
4,NGC 5273,NGC  5273,1.0,1.0,confirmed,0,0,0,iue_only: no HST observation in the archive,iue_only
5,NGC 3227,NGC 3227,3.0,,measured,140,2,3768,fittable: 140 px at C IV across 2 spectra,
6,NGC1566-NUC,NGC 1566,0.0,,confirmed,139,1,3762,fittable: 139 px at C IV across 1 spectra,low_snr;civ_unphysical
7,NGC 6814,NGC  6814,3.0,,measured,140,1,3767,fittable: 140 px at C IV across 1 spectra,
8,MCG-6-30-15,MCG-06-30-015,1.0,0.0,RECONSIDER - carried as IUE-only but HST data exists,0,1,0,no_civ_data: 0 usable pixels at C IV,iue_only
9,NGC 3516,NGC 3516,3.0,,measured,140,3,3768,fittable: 140 px at C IV across 3 spectra,
10,NGC 4593,NGC  4593,3.0,,measured,139,1,1506,fittable: 139 px at C IV across 1 spectra,
11,NGC 3783,NGC 3783,3.0,,measured,140,3,2607,fittable: 140 px at C IV across 3 spectra,
12,NGC 4253,NGC 4253,3.0,,measured,140,1,3767,fittable: 140 px at C IV across 1 spectra,
13,ESO 499-41,MCG-04-24-017,0.0,,confirmed,134,1,1363,fittable: 134 px at C IV across 1 spectra,insufficient_coverage;low_snr;civ_unphysical
14,IR1249-13,NGC  4748,1.0,1.0,confirmed,0,0,0,iue_only: no HST observation in the archive,iue_only
15,Mrk 352,Z 501-58,0.0,,confirmed,140,1,1223,fittable: 140 px at C IV across 1 spectra,no_civ_data;low_snr
16,IC 4329A,RXC J1349.3-3018,1.0,1.0,confirmed,0,0,0,iue_only: no HST observation in the archive,iue_only
17,Mrk 1044,MCG-02-07-024,3.0,,measured,140,2,1470,fittable: 140 px at C IV across 2 spectra,
18,NGC-7469,NGC 7469,3.0,,measured,140,3,3768,fittable: 140 px at C IV across 3 spectra,
19,NGC 5548,NGC 5548,3.0,,measured,140,3,3767,fittable: 140 px at C IV across 3 spectra,
20,3C 84,NGC 1275,0.0,,RECONSIDER - ICA range +2789 px; S/N x5.3; +1 spectra,140,3,1411,fittable: 140 px at C IV across 3 spectra,insufficient_coverage;low_snr;civ_unphysical
21,MKN 6,IC  450,1.0,1.0,confirmed,0,0,0,iue_only: no HST observation in the archive,iue_only
22,ESO 462-9,MCG-05-48-003,0.0,,confirmed,128,1,1404,fittable: 128 px at C IV across 1 spectra,insufficient_coverage;civ_unphysical
23,Mrk 1310,Mrk 1310,3.0,,measured,140,1,3768,fittable: 140 px at C IV across 1 spectra,
24,MCG8-11-11,Z 232-3,1.0,1.0,confirmed,0,0,0,iue_only: no HST observation in the archive,iue_only
25,Mrk 40,MCG+09-19-073,3.0,,measured,141,1,3767,fittable: 141 px at C IV across 1 spectra,
26,Mrk 50,Mrk   50,3.0,,measured,140,1,3767,fittable: 140 px at C IV across 1 spectra,
27,ICRF J171914.4+485849,Z 252-40,0.0,,RECONSIDER - +1 spectra,141,2,3767,fittable: 141 px at C IV across 2 spectra,low_snr
28,UGC 12163,UGC 12163,0.0,,confirmed,140,3,3766,fittable: 140 px at C IV across 3 spectra,civ_unphysical
29,Mrk 335,MRK 0335,3.0,,measured,140,3,3768,fittable: 140 px at C IV across 3 spectra,
30,NGC 863,NGC   863,3.0,,measured,140,1,3631,fittable: 140 px at C IV across 1 spectra,
31,ESO 31-8,ESO  31-8,0.0,,confirmed,133,1,1359,fittable: 133 px at C IV across 1 spectra,insufficient_coverage;civ_unphysical
32,Z 291-51,Z 291-51,3.0,,measured,140,1,3767,fittable: 140 px at C IV across 1 spectra,
33,Z 229-15,Z 229-15,3.0,,measured,140,1,3767,fittable: 140 px at C IV across 1 spectra,
34,MKN 704,Z  91-65,1.0,1.0,confirmed,0,0,0,iue_only: no HST observation in the archive,iue_only
35,2MASX-J00391586-5117013,[WPV85] 007,2.0,,measured,140,2,3755,fittable: 140 px at C IV across 2 spectra,
36,Mrk 290,Mrk  290,3.0,,measured,137,2,1476,fittable: 137 px at C IV across 2 spectra,
37,Mrk 279,Z 336-28,3.0,,measured,140,2,3763,fittable: 140 px at C IV across 2 spectra,
38,Mrk 493,UGC 10120,3.0,,measured,140,2,3768,fittable: 140 px at C IV across 2 spectra,
39,Mrk 817,Z 296-15,2.0,,measured,140,2,3761,fittable: 140 px at C IV across 2 spectra,
40,AKN120,ARK 120,0.0,,"RECONSIDER - C IV now covered (140 px, was 0); ICA range +3531 px; S/N now measurable; +1 spectra",140,2,3764,fittable: 140 px at C IV across 2 spectra,no_civ_data
41,3C 120,MCG+01-12-009,1.0,0.0,RECONSIDER - carried as IUE-only but HST data exists,0,1,282,no_civ_data: 0 usable pixels at C IV,iue_only
42,RXS-J00057-5007,LEDA     407,3.0,,measured,136,1,1323,fittable: 136 px at C IV across 1 spectra,
43,PG1310-1051,LEDA   45913,1.0,1.0,confirmed,0,0,0,iue_only: no HST observation in the archive,iue_only
44,Mrk 509,MRK 0509,3.0,,measured,140,3,3762,fittable: 140 px at C IV across 3 spectra,
45,Pic A,PICTOR A,3.0,,measured,140,2,3767,fittable: 140 px at C IV across 2 spectra,
46,Mrk 110,Mrk  110,2.0,,measured,140,2,2938,fittable: 140 px at C IV across 2 spectra,
47,Mrk 1392,Z  48-115,3.0,,measured,140,2,1328,fittable: 140 px at C IV across 2 spectra,
