index,row_num,common_name,have,missing,n_missing,have_none,v22_listed,v22_n_obs,known_to_v22,civ_covering,civ_lost_entirely,decided,manmask,reject_reason
9,188,NGC 3516,FOS;STIS,COS,1,False,COS;FOS;STIS,113,True,COS;FOS;STIS,False,True,3,
11,218,NGC 3783,FOS;STIS,COS,1,False,COS;FOS;STIS,88,True,COS;FOS;STIS,False,True,3,
20,60,3C 84,COS;FOS,STIS,1,False,COS;FOS,7,False,COS;FOS;STIS,False,True,0,insufficient_coverage;low_snr;civ_unphysical
40,74,AKN120,STIS,FOS,1,False,FOS;STIS,14,True,FOS,True,True,0,no_civ_data
47,386,Mrk 1392,STIS,COS,1,False,COS;STIS,2,True,COS;STIS,False,True,3,
57,54,NGC 985,COS,STIS,1,False,COS;STIS,28,True,COS;STIS,False,True,2,
60,35,ESO 113-45,FOS;STIS,COS,1,False,COS;FOS;STIS,22,True,COS;FOS;STIS,False,True,3,
73,28,LEDA 3095485,STIS,COS,1,False,COS;STIS,7,True,COS;STIS,False,True,3,
74,462,MR 2251-178,COS;STIS,FOS,1,False,COS;FOS;STIS,28,True,COS;FOS;STIS,False,True,3,
76,110,Ton 951,COS;FOS,STIS,1,False,COS;FOS;STIS,12,True,STIS,True,True,0,insufficient_coverage
81,251,Mrk 205,FOS,STIS,1,False,FOS;STIS,9,True,FOS;STIS,False,True,3,
90,345,LEDA 50824,COS;FOS,STIS,1,False,COS;FOS,22,False,COS;FOS;STIS,False,True,3,
96,416,PG 1617+175,,COS,1,True,LWP;SWP,2,False,,False,True,1,iue_only
97,34,Ton S 210,STIS,COS,1,False,COS;STIS,7,True,COS;STIS,False,True,0,insufficient_coverage;fit_unstable
106,419,QSO B1626+5529,COS,FOS,1,False,COS;FOS,20,True,COS;FOS,False,True,3,
111,257,3C 273,COS,FOS;STIS,2,False,COS;FOS;STIS,56,True,FOS;STIS,True,True,0,no_civ_data
113,301,PG1322+659,STIS,FOS,1,False,FOS;STIS,13,True,FOS;STIS,False,True,3,
116,452,ICRF J213745.1-143255,COS;FOS,STIS,1,False,COS;FOS,14,False,COS;FOS;STIS,False,True,3,
125,428,PG1700+518,FOS,STIS,1,False,FOS;STIS,13,True,FOS;STIS,False,False,,
129,185,[OKM2018] SWIFT J1104.8+7689,,FOS;STIS,2,True,FOS;STIS,47,True,FOS;STIS,True,False,,
