row_num,index,common_name,name_pub,name_mast_key,name_simbad,designation,category,manmask,reject_reason,had_data,civ_blue,civ_ew,f2500,z_catalog,z_adopted,z_ned,dv_ned_kms,z_simbad,dv_simbad_kms,z_flag,adopted_record,sulentic,note
255,1,NGC4395,NGC 4395,NGC4395,NGC  4395,J122548.87+333248.8,no_sdss,3,,yes,-78.78126855460229,314.37886611531724,0.889687114021583,0.0008,0.0008,0.001064,79.1,0.00110586,91.6,CHECK,BEST_iter08_siiv_m2300.json,yes,every variant passing the C IV veto gives -78.8 km/s; the variants that improve Si IV all fail the veto; 2300-2500 A non-AGN emission masked; user confirmed after trying the GUI
237,2,NGC-4051,NGC  4051,NGC-4051,NGC  4051,J120309.62+443152.7,no_sdss,0,insufficient_coverage;civ_unphysical;fit_unstable,yes,,,,0.002336,0.002336,0.002336,0.0,0.0020431,-87.6,CHECK,REJECT_ALL_iter04_adopted.json,,"1545 usable px all below 1800 A, no anchor coverage; all four variants fail the sub-continuum veto (77-123 px); blueshift swings 14 quanta"
239,3,NGC4151,NGC4151,NGC4151,[CTH90] NGC 4151 C03,J121032.53+392420.8,no_sdss,3,,yes,335.5125590520637,166.79164363195497,1.7954309985679644,0.00332,0.00332,0.003326,1.8,nan,nan,ok,BEST_iter04_adopted.json,,one quantum between mask sets; C III] is 3 sigma high in the adopted fit but the component set that fixes it breaks Si IV and Mg II at 12 sigma
309,4,NGC 5273,NGC  5273,NGC 5273,NGC  5273,J134208.47+353913.7,no_sdss,1,iue_only,iue_only,,,,0.0036,,0.003417,-54.7,0.00360589,1.8,ok,none,,"IUE only: no HST spectrum exists for NGC  5273 (row 309, J134208.47+353913.7) under any name variant in the rebin master, so nothing could be fitted on this pass. manmask 1 by GTR's instruction, as the marker that it still needs to be dealt with in the IUE grouping; not a verdict on the object."
168,5,NGC 3227,NGC 3227,NGC 3227,NGC  3227,J102330.56+195153.7,no_sdss,3,,yes,404.4969925394556,175.4494254240577,1.780424481676369,0.0039,0.0039,0.003756,-43.0,0.00327673,-186.1,CHECK,BEST_iter12_troughtrue.json,yes,"single-peaked line, massive absorption trough at ~0 km/s plus absorbers in both wings. Trough masked 1545.1-1552.0 at its true edges -- an earlier 1543.5-1555.5 threw away the red shoulder (flux 18-20) and left the model too low and too narrow. Blue-wing absorbers found by iterating the proposal three rounds (8 ranges a single pass missed). Model peak now 19.8 against data shoulders 18.5 and 20.5; 473.5 / 142.8, up from 128.1 EW. GTR's curated STIS fit gave 335.5 / 136 with a narrower trough"
65,6,NGC1566-NUC,NGC 1566,NGC1566-NUC,NGC  1566,J042000.54-545614.2,no_sdss,0,low_snr;civ_unphysical,yes,,,,0.0051,0.0051,0.005017,-24.8,0.00473963,-107.5,CHECK,REJECT_ALL_iter03_allmasks.json,yes,"FOS, S/N ~1-2 per pixel in the C IV wings; every variant fails the sub-continuum veto by 166-171 px with the model dipping to zero; prior manmask was already 0"
444,7,NGC 6814,NGC  6814,NGC 6814,NGC  6814,J194240.58-101925.3,no_sdss,3,,yes,335.5125590520637,520.3127491987848,1.1503100073448957,0.00521,0.00521,0.00522,3.0,0.00579177,173.5,CHECK,BEST_iter04_gtr_prior.json,,"GTR's curated masks (11 ranges, 32 px); Claude's own pass proposed no masks at all here. 335.5 / 521.3, the highest EW and best C IV residual (0.76 sigma rms) of any variant -- comps low fails the veto, comps high gives 466. Model peaks at 51 against data at 69: the basis cannot make a core this sharp, and the broad red wing at 1555-1578 is the line exceeding the basis, not absorption. Iterating the absorption search finds nothing at 2 sigma. CONFIRMED by GTR: an EW this large already places it at an extremum of C IV distance, so a better fit would not move it materially"
306,8,MCG-6-30-15,MCG-06-30-015,MCG-6-30-15,MCG-06-30-015,J133553.77-341744.7,no_sdss,1,iue_only,no_civ_coverage,,,,0.0075,,0.007749,74.1,0.00705902,-131.2,CHECK,none,,"IUE only: no HST spectrum exists for MCG-06-30-015 (row 306, J133553.77-341744.7) under any name variant in the rebin master, so nothing could be fitted on this pass. manmask 1 by GTR's instruction, as the marker that it still needs to be dealt with in the IUE grouping; not a verdict on the object. GTR 2026-09-21: manmask 1 stands, awaiting IUE. Correcting the record: HST data does exist for this object and the target name checks out, but no HST spectrum reaches C IV, so it cannot be measured here. The catalogue lists LWP/LWR/SWP, so there is IUE coverage to work with in that grouping. The reason iue_only is kept as the marker for that grouping, not as a claim that no HST spectrum exists."
188,9,NGC 3516,NGC 3516,NGC 3516,[MWP92] A,J110647.50+723406.9,no_sdss,3,,yes,404.4969925394556,174.26955285528177,1.1364816627136514,0.0088,0.0088,0.008836,10.7,nan,nan,ok,BEST_iter05_grow3.json,yes,"blueshift identical across all mask sets; anchors aligned; trial-z test shows the anchor offsets are model shape, not redshift"
266,10,NGC 4593,NGC  4593,NGC 4593,NGC  4593,J123939.45-052039.0,no_sdss,3,,yes,749.2255466349936,183.41700582201793,3.5205982166060865,0.009,0.009,0.008312,-204.4,0.00831951,-202.2,CHECK,BEST_iter03_allmasks.json,,"CONFIRMED by GTR. Claude's masks kept over GTR's curated fit: the 1533-1550 A absorption complex is masked more fully, giving lower residuals in both usable windows (Si IV rms 1.39 vs 1.72, C IV 1.91 vs 2.52); 749.2 / 182.4 against GTR's 611.4, two quanta. No C III] or Mg II coverage, so Si IV is the only anchor and the redshift cannot be checked from the UV; NED is 204 km/s below the catalogue value"
218,11,NGC 3783,NGC 3783,NGC 3783,NGC  3783,J113901.71-374418.9,no_sdss,3,,yes,59.38121176138286,108.81513635567126,0.6068466265529521,0.0095,0.0095,0.00973,68.3,0.00895786,-161.0,CHECK,BEST_iter05_strongabsonly.json,yes,"CO-ADDER FIX (2026-09-16): merged spectra were written without their gap pixels, leaving holes in the wavelength array that morph2 and get_ICA -- both index-aligned -- could not cope with; every merge was rebuilt on a full lattice and its records replayed (pipeline_output/refit_after_coaddfix_merges.csv). Re-test: the merge moves from 749.2 / 77.6 to 473.5 / 94.8 and still fails the veto (5 px); FOS alone stands. CONFIRMED by GTR. FOS alone -- the FOS+STIS combination fails the C IV veto and STIS alone fails badly. Masks are the subset of GTR's curated set whose absorption is significant: 1509-1516 (deepest pixel -6.3 sigma) and 1532-1538 (-2.9 sigma, 7 of 23 px below -1 sigma). The two dropped, 1541-1543 and 1544-1547, reach only -2.1 sigma, which is what noise alone gives in a 22-px window. 59.4 / 108.9, against 128.4 with all four and -78.8 with none. CAUTION: the blueshift spans four quanta across arguable mask sets, each mask only tipping the half-flux index across a pixel boundary, so it is not robust at the one-quantum level. GTR would have preferred a higher EW"
246,12,NGC 4253,NGC 4253,NGC 4253,NGC  4253,J121826.51+294846.3,no_sdss,3,,yes,-78.78126855460229,116.93610346400472,0.8121261409822272,0.0124,0.0124,0.012882,142.7,0.01292423,155.2,CHECK,BEST_iter08_absorber.json,yes,"CONFIRMED by GTR as better than the prior curated fit. GTR's curated pixel masks plus the associated absorber at 1549.0-1550.1 A, identified by GTR as sitting at the peak of C IV emission (C IV rest is 1549.48, so it is at systemic). Masking it is correct but changes nothing measurable: -78.8 / 116.9 against 117.0 without it, because it spans ~1 A, 3-6 px of 280. The model peaks at 19.9 against apparent data peaks of 31, but those pixels carry errors of 9 (S/N ~3), so the sharp core is not significant and the C IV residual is 0.37 sigma rms overall -- the fit is statistically sound and the basis limit is not costing a real measurement. comps mod is auto and best; high gives EW 92, low fails the veto"
157,13,ESO 499-41,MCG-04-24-017,ESO 499-41,MCG-04-24-017,J100555.36-230324.6,no_sdss,0,insufficient_coverage;low_snr;civ_unphysical,yes,,,,0.012816,0.012816,0.012816,0.0,0.01293848,36.3,ok,REJECT_ALL_iter01_baseline.json,,"Excluded. One COS spectrum, 1277.8-1730.1 A. It has 50 usable pixels inside the 1500-1600 A C IV window, but they span 1581.9-1599.8 A only -- the far red wing, entirely redward of the 1549.48 A line centre. There is no core, no peak and no blue wing, and the blueshift is the half-flux point of the cumulative line profile, which cannot be formed from the red tail alone. The fit fails the sub-continuum veto on 262 pixels reaching 274 per cent below continuum and returns blue 680.3 with EW 4.39, both meaningless. S/N is 1.71 per pixel across the C IV window and 2.57 at Si IV. No C III] or Mg II coverage, so nothing anchors the redshift either. The good Si IV and C IV window residuals (0.91 and 0.77 rms) reflect errors as large as the signal, not a good fit"
