common_name,instrument,n_old,n_new,z_old,z_new,dlam_max,dflux_med_pct,dflux_max_pct,mask_diff,verdict
2MASS J21145258+0607423,FOS,3019,3019,0.4608,0.4608,2.2737367544323206e-13,1.3251623646560526e-11,5.268704862443263e-08,0.0,IDENTICAL
2MASS J21145258+0607423,STIS,2883,2883,0.4608,0.4608,4.547473508864641e-13,2.3828632852225146e-12,0.6529768490018819,0.0,CLOSE
2MASS J22360767+1343554,STIS,3001,3001,0.3264161497257916,0.3264161497257916,4.547473508864641e-13,1.826212959531792e-12,7.203010816556899e-09,0.0,IDENTICAL
3C 273,COS,573,573,0.1583,0.1583,0.0,0.036940604894560775,28.78590011574682,0.0,CLOSE
3C 332.0,FOS,4054,4054,0.1509745000065142,0.1509745000065142,4.547473508864641e-13,6.796030769830318e-11,198.8447216364931,0.0,CLOSE
3C 84,COS,498,1431,0.0175,0.0175,,,,,DIFFERS (length)
3C 84,FOS,1489,1489,0.0175,0.0175,2.2737367544323206e-13,9.068196742939317e-10,66.24703910137781,0.0,CLOSE
AKN120,STIS,237,237,0.0323,0.0323,0.0,2.739874396507731,36.94989486240537,0.0,DIFFERS
ESO 113-45,FOS,4500,4500,0.0461,0.0461,4.547473508864641e-13,9.988859393032984e-12,3.8152669684629565e-10,0.0,IDENTICAL
ESO 113-45,STIS,237,5703,0.0461,0.0461,,,,,DIFFERS (length)
ICRF J213745.1-143255,COS,1235,1235,0.2004,0.2004,2.2737367544323206e-13,0.4576833539260775,102.99638466639212,0.0,DIFFERS
ICRF J213745.1-143255,FOS,2355,2355,0.2004,0.2004,2.2737367544323206e-13,1.2147777026057909e-11,6.314161477322666e-10,0.0,IDENTICAL
LB 2126,FOS,1736,1736,0.9767036167678352,0.9767036167678352,2.2737367544323206e-13,1.4398651400647637e-11,54.09863900879566,0.0,CLOSE
LEDA 29208,COS,1438,1438,0.1612385044965225,0.1612385044965225,1.9304025045130402e-10,18.738322302242587,3281.849189662118,22.0,DIFFERS
LEDA 3095485,STIS,1591,1591,0.062817,0.062817,2.2737367544323206e-13,4.024242482707022e-11,269.3915896304821,0.0,CLOSE
LEDA 50824,COS,1632,1632,0.089,0.089,2.2737367544323206e-13,2.2111413003774745,5807.431361505504,0.0,DIFFERS
