index,common_name,name_pub,manmask,blue_before,blue_after,quanta,ew_before,ew_after,dew_pct,disposition,record
1,NGC4395,NGC 4395,3,-78.78126855460229,-839.7978676717526,-11,314.37886611531724,239.8021636655493,-23.721919787830927,REVIEW,BEST_iter08_siiv_m2300
3,NGC4151,NGC4151,3,335.5125590520637,335.5125590520637,0,166.79164363195497,166.53075090615565,-0.15641834334039714,"small shift, adopt replayed value",BEST_iter04_adopted
5,NGC 3227,NGC 3227,3,404.4969925394556,404.4969925394556,0,175.4494254240577,175.4372134065701,-0.006960420336562868,carry over unchanged,BEST_iter12_troughtrue
7,NGC 6814,NGC  6814,3,335.5125590520637,335.5125590520637,0,520.3127491987848,524.2046087560642,0.7479846617774376,"small shift, adopt replayed value",BEST_iter04_gtr_prior
9,NGC 3516,NGC 3516,3,404.4969925394556,404.4969925394556,0,174.26955285528177,184.8853669484015,6.091605744771371,"small shift, adopt replayed value",BEST_iter05_grow3
10,NGC 4593,NGC  4593,3,749.2255466349936,680.3185584841262,-1,183.41700582201793,181.98827105614504,-0.7789543611126704,"small shift, adopt replayed value",BEST_iter03_allmasks
11,NGC 3783,NGC 3783,3,473.48142602680343,473.48142602680343,0,94.82446985240897,95.81203182849414,1.041463218958441,"small shift, adopt replayed value",REJECT_ALL_iter03_allmasks
11,NGC 3783,NGC 3783,3,59.38121176138286,59.38121176138286,0,108.81513635567126,108.81709162377248,0.0017968714341690412,carry over unchanged,BEST_iter05_strongabsonly
12,NGC 4253,NGC 4253,3,-78.78126855460229,-78.78126855460229,0,116.93610346400472,116.91705154472324,-0.016292589471604026,carry over unchanged,BEST_iter08_absorber
17,Mrk 1044,MCG-02-07-024,3,197.48560807496355,197.48560807496355,0,80.01236049759146,82.63680369589663,3.2800472101859484,"small shift, adopt replayed value",BEST_iter06_peakabs
18,NGC-7469,NGC 7469,3,266.5087642305957,197.48560807496355,-1,175.99589836696137,165.74216573881944,-5.826120223985177,"small shift, adopt replayed value",BEST_iter07_peakblueabs
19,NGC 5548,NGC 5548,3,-9.68066706248958,-78.78126855460229,-1,244.95947475898137,258.84130921698244,5.6669922531714985,"small shift, adopt replayed value",BEST_iter03_fullabs
23,Mrk 1310,Mrk 1310,3,197.48560807496355,197.48560807496355,0,1179.334821572151,1253.993166424638,6.330546973332077,"small shift, adopt replayed value",BEST_iter03_allmasks
25,Mrk 40,MCG+09-19-073,3,-9.68066706248958,-9.68066706248958,0,733.3958107371818,722.2504889731156,-1.5196871322271914,"small shift, adopt replayed value",BEST_iter01_baseline
26,Mrk 50,Mrk   50,3,-147.88187004671502,-147.88187004671502,0,168.3179590446759,168.24197402727742,-0.045143737382353596,carry over unchanged,BEST_iter04_gtr_prior
29,Mrk 335,MRK 0335,3,59.38121176138286,59.38121176138286,0,96.63557988845346,94.50987138780285,-2.1997161947021215,"small shift, adopt replayed value",REJECT_ALL_iter02_noncivmasks
29,Mrk 335,MRK 0335,3,-78.78126855460229,-78.78126855460229,0,80.70497435749922,80.70543987179614,0.0005768099186275517,carry over unchanged,BEST_iter08_gtr_plus1510abs
30,NGC 863,NGC   863,3,-78.78126855460229,-78.78126855460229,0,225.04952557288863,197.9569916862505,-12.03847633878413,REVIEW,BEST_iter04_gtr_prior
32,Z 291-51,Z 291-51,3,-9.68066706248958,-78.78126855460229,-1,218.22007007173684,228.19983614415636,4.573257661011112,"small shift, adopt replayed value",BEST_iter06_gtr_hand_z69
33,Z 229-15,Z 229-15,3,266.5087642305957,266.5087642305957,0,241.25310407403236,239.20078023824095,-0.8506932350854329,"small shift, adopt replayed value",BEST_iter03_allmasks
35,2MASX-J00391586-5117013,[WPV85] 007,2,404.4969925394556,404.4969925394556,0,22.670942111031714,23.135538931589583,2.049305310218209,"small shift, adopt replayed value",BEST_iter11_gtr_hand2
36,Mrk 290,Mrk  290,3,266.5087642305957,266.5087642305957,0,199.36663809056137,203.7048734243227,2.1760086719176703,"small shift, adopt replayed value",BEST_iter02_gtr_hand
37,Mrk 279,Z 336-28,3,-78.78126855460229,-78.78126855460229,0,105.3015884087532,111.16801802080582,5.571074188625407,"small shift, adopt replayed value",BEST_iter01_gtr_prior
