spectrum,npix,ngood,civ_all_masked,no_good_pixels,wave_below_900
2MASS J08013157+3544362_COS,2767,1025,280.0,,
2MASS J08042265+1926386_COS,1474,506,205.0,,
2MASS J08105865+7602424_STIS,3736,474,281.0,,
2MASS J09224506+3032585_COS,1445,440,176.0,,
2MASS J09460395+0139235_COS,2620,545,280.0,,
2MASS J09503674+5128382_COS,2638,953,280.0,,
2MASS J10051419+5302398_COS,1544,409,275.0,,
2MASS J10215235+4645158_COS,4313,657,280.0,,
2MASS J11190530+5925140_COS,2091,909,280.0,,
2MASS J11493175+2230285_COS,2192,1100,280.0,,
2MASS J12140133+4048233_COS,1480,474,211.0,,
2MASS J12210891+4228388_COS,1442,455,173.0,,
2MASS J12305003+0115226_STIS,1408,586,139.0,,
2MASS J12323582+0603098_COS,1710,1192,280.0,,
2MASS J12465925+3126196_COS,1481,503,212.0,,
2MASS J13042289+2055107_COS,1462,528,193.0,,
2MASS J13304515+2813216_COS,1968,987,280.0,,
2MASS J14314604+0301444_COS,1270,58,1.0,,
2MASS J16151905-0936132_COS,1754,1221,280.0,,
2MASS J17185029+3042017_COS,1462,378,193.0,,
2MASS J21145258+0607423_COS,1,0,,True,
2MASS J22360767+1343554_COS,1,0,,True,
2MASSI J0352305-071102_COS,1,0,,True,
3C 273_STIS,8981,5883,280.0,,
3C 286_STIS,1481,140,212.0,,
3C 332.0_STIS,9011,6568,280.0,,
3C 84_STIS,9342,5565,280.0,,
4C 10.30_COS,1,0,,True,
6C 134441+623604_COS,3004,1107,280.0,,
7C 1555+3313_COS,316,0,,True,
7C 163119.39+393037.00_COS,1,0,,True,894.5
87GB 004432.0+030343_COS,1,0,,True,
87GB 121807.5+173455_COS,2990,1720,280.0,,
CLASS-B1152+199-ABS01_STIS,1,0,,True,850.0
Crt A_COS,1,0,,True,
FBQS J2226-0901_COS,2062,491,281.0,,
ICRF J020157.1-113233_COS,2432,1369,280.0,,
ICRF J074110.7+311200_STIS,770,333,168.0,,
ICRF J083052.0+241059_STIS,216,0,109.0,True,
ICRF J113957.0+654749_COS,2497,1431,280.0,,
ICRF J154743.5+205216_COS,1672,1128,280.0,,
ICRF J213745.1-143255_COS,1684,1088,280.0,,
IRASF12397+3333_COS,3297,671,281.0,,
J04561-2159_COS,1461,230,192.0,,
J04561-2159_STIS,2495,906,281.0,,
J0833+1005-OFFNUCLEUS_COS,3678,61,280.0,,
LBQS 1222+1640_COS,2682,1566,280.0,,
LBQS 1230-0015_COS,2986,1775,281.0,,
LBQS 1340-0038_COS,1463,1093,194.0,,
LEDA 138607_COS,1751,1150,281.0,,
LEDA 2100384_COS,1755,1247,280.0,,
LEDA 3095485_COS,1736,1165,280.0,,
LEDA 3095694_COS,1711,1163,280.0,,
LEDA 3095876_COS,2773,1258,280.0,,
LEDA 3096578_COS,1696,1163,280.0,,
LEDA 34449_STIS,1513,0,244.0,True,
LEDA 88835_COS,1777,1219,280.0,,
LEDA 89176_COS,1753,1214,281.0,,
Mrk 1298_COS,1720,1199,281.0,,
Mrk 1383_STIS,1531,656,261.0,,
Mrk 1501_FOS,4324,2912,280.0,,
Mrk 1502_COS,1746,1213,280.0,,
Mrk 205_STIS,1591,617,280.0,,
Mrk 335_STIS,1780,618,281.0,,
Mrk 876_STIS,1362,579,93.0,,
NGC 3783_STIS,6505,1460,281.0,,
NGC 5548_STIS,6619,2318,280.0,,
NGC-4051_STIS,7912,1333,280.0,,
PB 3493_COS,1457,382,187.0,,
PB 6739_COS,1685,601,281.0,,
PG 1049-005_STIS,6656,900,280.0,,
PG 1216+069_COS,1950,1229,280.0,,
Q1130+6026_COS,1817,475,280.0,,
Q1229-0207_COS,1,0,,True,874.6
Q1229-0207_STIS,7,0,,True,
QSO B0624+6907_STIS,2783,505,281.0,,
QSO B1248+401_COS,1,0,,True,
QSO B1248+401_STIS,1360,654,91.0,,
QSO B1544+4855_STIS,1,0,,True,
QSO B2128-123_COS,1442,316,173.0,,
QSO J0441-4313_COS,1,0,,True,
QSO J0441-4313_STIS,1,0,,True,
QSO J0635-7516_COS,1,0,,True,
QSO J0910+1014_COS,1828,736,280.0,,
QSO J0914+2823_COS,2189,1027,280.0,,
QSO J1009+0713_COS,3031,1813,280.0,,
QSO J1028+4500_COS,2586,1454,280.0,,
QSO J1112+3539_COS,2446,1171,281.0,,
QSO J1122+0318_COS,1,0,,True,
QSO J1154+0134_COS,2739,1535,280.0,,
QSO J1241+5721_COS,2585,1369,281.0,,
QSO J1422-0001_COS,1937,428,280.0,,
QSO J1435+3604_COS,3031,1763,280.0,,
QSO J1525+0026_COS,1,0,,True,
QSO J1550+4001_COS,2910,1636,280.0,,
QSO J1619+3342_COS,1768,842,280.0,,
RX J1131.6+1557_COS,1748,449,280.0,,
SBSG 1123+594A_COS,1356,72,86.0,,
SBSG 1123+594A_STIS,1,0,,True,
SDSS J143443.68+200524.4_COS,2952,1561,280.0,,
SDSSJ1602+1410_COS,1481,0,212.0,True,
Ton 1329_COS,2874,1804,280.0,,
Ton 1388_STIS,3308,1453,280.0,,
Ton 1480_STIS,1,0,,True,
Ton 153_COS,1,0,,True,
Ton 153_STIS,1374,718,136.0,,
Ton 469_COS,1635,608,281.0,,
Ton S 210_STIS,3535,1411,280.0,,
US 1867_COS,1611,426,280.0,,
[VV2006] J123734.4+444731_COS,1,0,,True,
[VV98] J102847.0+391758_COS,1766,842,280.0,,
