order,category,row_num,designation,name_pub,name_source,name_mast_key,name_simbad,sulentic,z,z_dv_kms,z_needs_check,sdss_flag,oiii_observable,validation_route,work_status,manmask,civ_frac_best,ciii_frac_best,mgii_frac_best,n_spectra,instruments_master,stems,measurement_provenance,companion_within_30as
1,no_sdss,255,J122548.87+333248.8,NGC 4395,sulentic,NGC4395,NGC  4395,yes,0.0008,15.0,no,,False,uv_anchor,fit,1,1.0,1.0,1.0,3,COS;FOS;STIS,NGC4395_COS;NGC4395_FOS;NGC4395_STIS,,
2,no_sdss,237,J120309.62+443152.7,NGC  4051,simbad,NGC-4051,NGC  4051,,0.002336,0.1,no,,False,ned_simbad,fit,1,0.9893,0.0,0.0,2,COS;STIS,NGC-4051_COS;NGC-4051_STIS,,
3,no_sdss,239,J121032.53+392420.8,NGC4151,mast,NGC4151,[CTH90] NGC 4151 C03,,0.00332,1.5,no,,False,uv_anchor,fit,2,1.0,1.0,1.0,2,FOS;STIS,NGC4151_FOS;NGC4151_STIS,,
4,no_sdss,309,J134208.47+353913.7,NGC  5273,simbad,NGC 5273,NGC  5273,,0.0036,14.9,no,,False,ned_simbad,iue_only,,0.0,0.0,0.0,0,,,,
5,no_sdss,168,J102330.56+195153.7,NGC 3227,sulentic,NGC 3227,NGC  3227,yes,0.0039,14.9,no,,False,uv_anchor,fit,1,1.0,1.0,1.0,2,COS;STIS,NGC 3227_COS;NGC 3227_STIS,,
6,no_sdss,65,J042000.54-545614.2,NGC 1566,sulentic,NGC1566-NUC,NGC  1566,yes,0.0051,14.9,no,,False,uv_anchor,fit,0,0.9964,1.0,1.0,1,FOS,NGC1566-NUC_FOS,,
7,no_sdss,444,J194240.58-101925.3,NGC  6814,simbad,NGC 6814,NGC  6814,,0.00521,1.5,no,,False,uv_anchor,fit,3,1.0,1.0,1.0,1,STIS,NGC 6814_STIS,gtr_reproducible,"[VV2006c] J194240.7-101923 (Sy1, 11"")"
8,no_sdss,306,J133553.77-341744.7,MCG-06-30-015,simbad,MCG-6-30-15,MCG-06-30-015,,0.0075,14.9,no,,False,ned_simbad,no_civ_coverage,,0.0,0.0,0.0,1,STIS,MCG-6-30-15_STIS,,
9,no_sdss,188,J110647.50+723406.9,NGC 3516,sulentic,NGC 3516,[MWP92] A,yes,0.0088,14.9,no,,False,uv_anchor,fit,2,1.0,1.0,1.0,3,COS;FOS;STIS,NGC 3516_COS;NGC 3516_FOS;NGC 3516_STIS,,
10,no_sdss,266,J123939.45-052039.0,NGC  4593,simbad,NGC 4593,NGC  4593,,0.009,148.6,yes,,False,ned_simbad,fit,3,1.0,0.0,0.0108,1,STIS,NGC 4593_STIS,gtr_reproducible,
11,no_sdss,218,J113901.71-374418.9,NGC 3783,sulentic,NGC 3783,NGC  3783,yes,0.0095,14.8,no,,False,uv_anchor,fit,2,1.0,1.0,0.0,3,COS;FOS;STIS,NGC 3783_COS;NGC 3783_FOS;NGC 3783_STIS,,
12,no_sdss,246,J121826.51+294846.3,NGC 4253,sulentic,NGC 4253,NGC  4253,yes,0.0124,14.8,no,,False,uv_anchor,fit,3,1.0,1.0,1.0,1,STIS,NGC 4253_STIS,gtr_reproducible,
13,no_sdss,157,J100555.36-230324.6,MCG-04-24-017,simbad,ESO 499-41,MCG-04-24-017,,0.012816,0.1,no,,False,ned_simbad,civ_partial,1,0.1786,0.0,0.0,1,COS,ESO 499-41_COS,,
14,no_sdss,273,J125212.30-132451.7,NGC  4748,simbad,IR1249-13,NGC  4748,,0.0146,14.8,no,,False,ned_simbad,iue_only,,0.0,0.0,0.0,0,,,,"LEDA 3797560 (Sy2, 16"")"
15,no_sdss,27,J005953.30+314937.1,Z 501-58,simbad,Mrk 352,Z 501-58,,0.01486,1.5,no,,False,ned_simbad,no_civ_coverage,1,0.0,0.0,0.0,1,COS,Mrk 352_COS,,
16,no_sdss,318,J134919.21-301833.8,RXC J1349.3-3018,simbad,IC 4329A,RXC J1349.3-3018,,0.016,147.5,yes,,False,ned_simbad,iue_only,,0.0,0.0,0.0,0,,,,
17,no_sdss,52,J023005.49-085953.1,MCG-02-07-024,simbad,Mrk 1044,MCG-02-07-024,,0.0161,14.8,no,,False,ned_simbad,fit,,1.0,0.0,0.0,2,COS;STIS,Mrk 1044_COS;Mrk 1044_STIS,,
18,no_sdss,464,J230315.63+085225.5,NGC 7469,sulentic,NGC-7469,[DAC2007] C13,yes,0.016268,0.1,no,,False,uv_anchor,fit,1,1.0,1.0,1.0,3,COS;FOS;STIS,NGC-7469_COS;NGC-7469_FOS;NGC-7469_STIS,,
19,no_sdss,353,J141759.54+250812.4,NGC 5548,sulentic,NGC 5548,NGC  5548,yes,0.0168,14.7,no,,False,uv_anchor,fit,2,1.0,1.0,1.0,3,COS;FOS;STIS,NGC 5548_COS;NGC 5548_FOS;NGC 5548_STIS,,
20,no_sdss,60,J031948.15+413042.2,NGC 1275,sulentic,3C 84,NGC  1275,yes,0.0175,14.7,no,,False,ned_simbad,fit,1,0.9864,0.0,0.0321,3,COS;FOS;STIS,3C 84_COS;3C 84_FOS;3C 84_STIS,,
21,no_sdss,80,J065212.33+742535.4,IC  450,simbad,MKN 6,IC  450,,0.0188,14.7,no,,False,ned_simbad,iue_only,,0.0,0.0,0.0,0,,,,
22,no_sdss,446,J202151.55-311723.0,MCG-05-48-003,simbad,ESO 462-9,MCG-05-48-003,,0.019277,0.1,no,,False,ned_simbad,civ_partial,0,0.3381,0.0,0.0,1,COS,ESO 462-9_COS,,
23,no_sdss,236,J120114.34-034041.0,Mrk 1310,simbad,Mrk 1310,Mrk 1310,,0.01956,1.5,no,,False,uv_anchor,fit,3,1.0,1.0,1.0,1,STIS,Mrk 1310_STIS,gtr_reproducible,
24,no_sdss,76,J055453.67+462622.4,Z 232-3,simbad,MCG8-11-11,Z 232-3,,0.0205,14.7,no,,False,ned_simbad,iue_only,,0.0,0.0,0.0,0,,,,
25,no_sdss,207,J112536.15+542257.0,MCG+09-19-073,simbad,Mrk 40,MCG+09-19-073,,0.0211,14.7,no,,False,uv_anchor,fit,3,1.0,1.0,1.0,1,STIS,Mrk 40_STIS,gtr_reproducible,
26,no_sdss,252,J122324.14+024044.4,Mrk   50,simbad,Mrk 50,Mrk   50,,0.0234,14.6,no,,False,uv_anchor,fit,3,1.0,1.0,1.0,1,STIS,Mrk 50_STIS,gtr_reproducible,
27,no_sdss,435,J171914.54+485849.6,Z 252-40,simbad,ICRF J171914.4+485849,Z 252-40,,0.024167,0.1,no,,False,uv_anchor,fit,,1.0,1.0,1.0,2,FOS;STIS,ICRF J171914.4+485849_FOS;ICRF J171914.4+485849_STIS,,
28,no_sdss,458,J224239.34+294331.3,UGC 12163,sulentic,UGC 12163,Z 495-18,yes,0.0245,14.6,no,,False,uv_anchor,fit,1,1.0,1.0,1.0,3,COS;FOS;STIS,UGC 12163_COS;UGC 12163_FOS;UGC 12163_STIS,,
29,no_sdss,4,J000619.50+201210.1,MRK 0335,sulentic,Mrk 335,Mrk  335,yes,0.025418,0.1,no,,False,uv_anchor,fit,1,1.0,1.0,1.0,3,COS;FOS;STIS,Mrk 335_COS;Mrk 335_FOS;Mrk 335_STIS,,
30,no_sdss,49,J021433.57-004600.2,NGC   863,simbad,NGC 863,NGC   863,,0.026385,0.1,no,,False,uv_anchor,fit,3,1.0,1.0,0.0,1,COS,NGC 863_COS,alex_mask_NOT_reproducible,
31,no_sdss,58,J030735.47-725002.5,ESO  31-8,simbad,ESO 31-8,ESO  31-8,,0.027619,0.1,no,,False,ned_simbad,civ_partial,1,0.4571,0.0,0.0,1,COS,ESO 31-8_COS,,
32,no_sdss,197,J111857.70+580323.8,Z 291-51,simbad,Z 291-51,Z 291-51,,0.02787,1.5,no,,False,uv_anchor,fit,3,1.0,1.0,1.0,1,STIS,Z 291-51_STIS,gtr_reproducible,
33,no_sdss,441,J190525.91+422739.8,Z 229-15,simbad,Z 229-15,Z 229-15,,0.02788,1.5,no,,False,uv_anchor,fit,3,1.0,1.0,1.0,1,STIS,Z 229-15_STIS,alex_mask_NOT_reproducible,
34,no_sdss,123,J091825.98+161818.9,Z  91-65,simbad,MKN 704,Z  91-65,,0.0286,14.6,no,,False,ned_simbad,iue_only,,0.0,0.0,0.0,0,,,,
35,no_sdss,14,J003915.81-511702.1,[WPV85] 007,sulentic,2MASX-J00391586-5117013,LEDA   87392,yes,0.029,145.7,yes,,False,uv_anchor,fit,1,1.0,1.0,1.0,2,COS;FOS,2MASX-J00391586-5117013_COS;2MASX-J00391586-5117013_FOS,,
36,no_sdss,395,J153552.36+575409.2,Mrk  290,simbad,Mrk 290,Mrk  290,,0.0302,14.6,no,,False,ned_simbad,civ_partial,2,0.575,0.0,0.0,2,COS;STIS,Mrk 290_COS;Mrk 290_STIS,,
37,no_sdss,319,J135303.42+691829.5,Z 336-28,simbad,Mrk 279,Z 336-28,,0.030451,0.1,no,,False,uv_anchor,fit,1,0.9964,1.0,1.0,2,COS;STIS,Mrk 279_COS;Mrk 279_STIS,,
38,no_sdss,408,J155909.64+350147.2,UGC 10120,sulentic,Mrk 493,Z 195-3,yes,0.0313,14.5,no,,False,uv_anchor,fit,2,1.0,1.0,1.0,2,FOS;STIS,Mrk 493_FOS;Mrk 493_STIS,,
39,no_sdss,375,J143622.08+584739.3,Z 296-15,simbad,Mrk 817,Z 296-15,,0.031328,0.1,no,,False,uv_anchor,fit,1,1.0,1.0,1.0,2,COS;STIS,Mrk 817_COS;Mrk 817_STIS,,
40,no_sdss,74,J051611.50-000859.2,ARK 120,sulentic,AKN120,Z 395-23,yes,0.0323,14.5,no,,False,uv_anchor,fit,1,1.0,1.0,1.0,2,FOS;STIS,AKN120_FOS;AKN120_STIS,,
41,no_sdss,68,J043311.02+052115.6,MCG+01-12-009,simbad,3C 120,MCG+01-12-009,,0.033,145.1,yes,,False,uv_anchor,no_civ_coverage,,0.0,0.0,1.0,1,STIS,3C 120_STIS,,
42,no_sdss,1,J000543.05-500654.5,LEDA     407,simbad,RXS-J00057-5007,LEDA     407,,0.0333,14.5,no,,False,ned_simbad,civ_partial,3,0.6607,0.0,0.0,1,COS,RXS-J00057-5007_COS,alex_mask_NOT_reproducible,
43,no_sdss,290,J131305.73-110743.5,LEDA   45913,simbad,PG1310-1051,LEDA   45913,,0.0343,14.5,no,,False,ned_simbad,iue_only,,0.0,0.0,0.0,0,,,,
44,no_sdss,447,J204409.75-104324.6,MRK 0509,sulentic,Mrk 509,Mrk  509,yes,0.0344,14.5,no,,False,uv_anchor,fit,,1.0,1.0,1.0,3,COS;FOS;STIS,Mrk 509_COS;Mrk 509_FOS;Mrk 509_STIS,,
45,no_sdss,75,J051949.64-454643.9,PICTOR A,sulentic,Pic A,ESO 252-18A,yes,0.035,144.8,yes,,False,uv_anchor,fit,1,1.0,1.0,1.0,2,FOS;STIS,Pic A_FOS;Pic A_STIS,,
46,no_sdss,129,J092512.87+521710.7,Mrk  110,simbad,Mrk 110,Mrk  110,,0.03529,1.4,no,,False,uv_anchor,civ_partial,,0.7429,1.0,1.0,2,COS;STIS,Mrk 110_COS;Mrk 110_STIS,,
47,no_sdss,386,J150556.55+034226.3,Z  48-115,simbad,Mrk 1392,Z  48-115,,0.0359,14.5,no,,False,ned_simbad,fit,2,1.0,0.0,0.0,2,COS;STIS,Mrk 1392_COS;Mrk 1392_STIS,,
48,no_sdss,385,J150401.19+102615.7,Mrk  841,simbad,Mrk 841,Mrk  841,,0.036422,0.1,no,,False,ned_simbad,civ_partial,0,0.6,0.0,0.0,1,COS,Mrk 841_COS,,
49,no_sdss,442,J192114.14-584013.0,ESO 141-55,simbad,ESO 141-55,ESO 141-55,,0.037109,0.1,no,,False,ned_simbad,civ_partial,3,0.7143,0.0,0.0,1,COS,ESO 141-55_COS,gtr_reproducible,
50,no_sdss,53,J023322.32+275613.1,Mrk 1179,simbad,Mrk 1179,Mrk 1179,,0.037599,0.1,no,,False,ned_simbad,no_civ_coverage,1,0.0,0.0,0.0,1,COS,Mrk 1179_COS,,
